Company,Date,Predict Return,Predict Return,Predict Return,Predict Return,Predict Return,Predict Return,Predict Return,Predict Return,Predict Return,Predict Return
NYSE:AU,2021.0,-0.11494478,0.26411325,0.49753097,0.3203111,-0.026268423,0.27193436,-0.12661326,0.26982594,0.2988306,0.4654135
NYSE:DRD,2021.0,0.34996063,-1.2755691,-1.0522774,-0.30645987,0.10765,0.15390618,-0.47612578,-0.40050998,0.13753021,0.015771378
NYSE:FSM,2021.0,-0.82398814,-0.08445487,-0.14766194,-2.141846,-2.0968337,-0.13219258,-0.036770176,-0.10743654,-0.8155228,-1.2716398
TSX:AYA,2021.0,-0.69590646,-1.482081,-2.1620347,-1.0391811,-0.8605333,-1.6604369,-0.3556643,0.22544011,-2.2398612,-1.4390584
NYSE:CGAU,2021.0,-0.26987228,0.019478686,0.25321132,-0.004229374,0.26318097,-0.15277974,-0.09227994,-0.5352563,0.16187736,0.2275522
TSX:VGCX,2021.0,0.3794624,1.1211585,0.11939946,-0.24423525,-0.15643726,0.3160019,0.60248303,-0.03190683,0.01466025,0.4360342
NYSE:WPM,2021.0,0.004647017,-0.14075543,-0.24978748,0.037696056,-0.24147321,-0.761268,0.018797377,-0.18680641,-1.0740322,-0.028731894
TSX:WDO,2021.0,0.2821754,0.8480691,0.051062144,0.24296,0.7493253,0.5986361,0.17968646,0.43881723,0.055849023,0.2869244
ASX:SLR,2020.0,-0.1581547,-1.609377,-0.10630979,0.2413375,0.724239,-0.15676352,-0.43573877,0.23573235,-0.8423774,-0.9334176
TSX:EDV,2020.0,0.39746773,-0.017225059,0.2911358,-0.18806791,0.6803287,0.42360032,-0.09091434,-0.17530675,0.11350371,1.1880273
NYSE:IAG,2020.0,0.019770842,-0.13030699,-0.851841,-0.5072108,-0.5787793,-0.3794069,-0.3428852,-0.16525638,-0.35966507,-0.15952387
NYSE:EGO,2020.0,-0.57865894,-0.483217,-1.7971654,-1.4357351,-0.5079818,-0.23366912,0.028508557,-1.3487182,-0.25590798,-0.044126064
AMEX:BTG,2020.0,-0.021953069,-0.40939906,0.035302147,-0.38126498,0.16680509,-0.12945755,-0.07098119,-0.36580834,-0.5010113,-0.17887303
NYSE:CDE,2020.0,-1.5598428,0.013183132,-0.14706747,0.07309108,0.03308583,0.027722903,-0.63878095,0.08454804,-2.794444,-0.3968138
TSX:GGD,2020.0,-0.20706153,-0.3580462,-0.5101501,-0.3604641,-0.7779334,-0.8616977,-0.74660385,-0.121639274,-0.37206453,-0.1908522
NAS:SSRM,2020.0,-0.1415116,-1.1520461,-0.21064058,0.66781706,0.31810847,-0.15014209,-0.1080562,0.20983037,-0.18096074,0.19088346
NYSE:GOLD,2020.0,0.1497419,-0.04542308,0.19680353,0.27826113,0.068353474,0.098798886,-0.41829327,0.0057886094,-0.09610461,0.044360418
NYSE:NEM,2020.0,-0.06287055,-0.7231975,-0.027867906,-0.089222446,0.0039811702,-0.15503623,-0.046474464,0.025382461,-0.74790233,-0.08294964
TSX:OGC,2020.0,1.1263784,0.34824118,2.2865705,2.500382,1.35302,3.236771,3.1239226,1.200233,0.6128351,1.2491616
NYSE:AUY,2020.0,-0.9824586,-0.39485803,-0.073830426,-0.035306625,-0.20150359,-0.9239029,0.053383425,-0.7476634,-0.48184052,0.016744187
ASX:RMS,2020.0,-1.5011597,-1.3947529,-0.541674,-2.6128018,-2.994745,-0.21594101,-1.2727462,-3.0979445,-1.2639059,-1.0927875
ASX:GOR,2020.0,-1.9320418,-0.3333938,-1.3253539,-0.5969182,-0.1561293,-0.34117338,-1.3705906,-2.0895505,0.6467295,-0.8200988
ASX:PRU,2020.0,-1.3607875,-0.115495935,-0.3909603,-1.355969,-1.411452,-1.1385494,-0.6801276,-0.8233082,-0.114465505,-0.14232919
NYSE:GFI,2020.0,0.07320671,-0.1340882,-0.813509,-0.9425541,-1.5462714,-0.007031806,0.09367831,-0.7953031,-1.3189038,0.023484081
ASX:NCM,2020.0,-0.11396426,-0.097114235,0.10078616,-0.015657945,0.13917376,0.042189434,0.11232548,-0.017402,-0.18173516,-0.120985135
NAS:PAAS,2020.0,-0.1350458,-0.24214217,-0.031327486,-0.038534366,-0.22963946,-0.8839852,-0.12530917,-0.15540856,0.03188096,-0.4672222
NYSE:AEM,2020.0,0.15534873,-0.18837443,-1.0540818,0.19302948,0.15538001,0.15569864,0.15536925,-0.23325533,0.15538806,-0.066047974
NYSE:SAND,2020.0,-0.3771188,-0.24708094,-0.10085213,-0.17831142,-0.6919083,-0.35447848,0.06461221,-0.022549339,-0.5554823,-0.2560441
NYSE:EXK,2020.0,-0.13646692,0.20879036,0.09839797,0.20433524,0.04068517,0.5008062,-0.29809067,-0.36735344,0.72855496,0.029504903
HKSE:02899,2020.0,-0.025534367,-0.08507585,-0.6744026,-0.096832275,-0.36634123,-0.47676706,0.24627574,0.028401222,-0.06538983,-1.2941219
NYSE:HMY,2020.0,0.20253393,-0.4785175,-0.74282604,-0.3978328,-1.5002563,0.09257854,-0.10078679,0.076872446,-0.37650192,-0.4974197
ASX:NST,2020.0,-1.9220035,-0.79478174,-0.29538453,0.058821008,0.058407992,-0.27018705,-0.06254886,-0.14263383,0.27498007,-0.04455457
NYSE:FNV,2020.0,-0.068236604,0.14425159,-0.20257162,-0.8441772,-0.038909394,-0.03955944,-0.17211857,0.034322456,-0.033115327,-0.21008228
AMEX:NGD,2020.0,1.0347352,0.02047316,0.2281918,0.010472074,0.27724546,0.67021066,0.649792,0.22029205,-0.23482695,-0.048878334
TSX:TXG,2020.0,-1.4221663,-0.14692566,-0.73587584,-0.6757594,-0.87465286,-0.27016756,-0.6739242,-0.38731107,-0.56490207,-0.12150298
NYSE:KGC,2020.0,-0.4086572,-0.28650203,0.14959873,-0.1394346,-0.35791403,0.0618082,0.12453264,0.019928534,-0.22955991,-0.92274576
HKSE:01818,2020.0,-0.39487028,-2.533787,-0.23562738,-0.56079125,-1.8350401,-0.7978864,-0.0822222,-0.45527178,-0.6691396,-0.5003152
TSX:DPM,2020.0,-0.16974859,-0.23236686,-0.08131154,-0.18636686,-0.6341691,-0.35183093,-0.22297797,-0.28237146,0.03904317,0.052995656
ASX:RRL,2020.0,0.2603768,0.36845064,-0.40349385,0.4546604,-0.41631323,0.3325956,-0.38471735,-0.10943103,-0.17432995,0.18334864
TSX:KNT,2020.0,-0.020734172,0.3378942,1.1091542,1.0273287,0.3811042,1.0688946,0.96285814,-0.97449917,0.4359804,1.0751336
TSX:AR,2020.0,0.07219143,0.09841767,-0.1472067,-0.0850369,0.57091665,0.07852996,1.4028397,0.18336254,0.016689982,0.04796226
NAS:RGLD,2020.0,0.081709236,0.89865494,-0.35379174,-11.487219,-8.976755,0.54746115,0.72387165,-3.181158,0.5443502,0.08131358
ASX:EVN,2020.0,-0.33195204,-0.43690544,-0.63554543,-0.59307474,-0.18042186,-0.98141325,-0.36803326,-0.32379568,-0.7195028,-0.5572538
NYSE:AGI,2020.0,-0.23395565,-0.56338096,-0.89741015,-0.19715975,-0.44524068,0.24887094,-0.3654489,-0.2563729,-0.012979548,-0.17857328
LSE:CEY,2020.0,-0.8716452,-0.09750542,-0.103796214,0.30609736,0.02428934,0.043709353,-0.38051078,0.6931262,-0.37340537,-0.5138559
NYSE:HL,2020.0,-0.124479264,0.27799818,0.10147026,-0.08050856,0.10148508,-1.1578981,-0.5505724,0.10254413,-0.114003904,-0.7964028
NYSE:BVN,2020.0,0.3304109,0.23475613,0.2601593,0.06764512,0.32632655,0.26499176,0.08555506,0.015345885,0.5019061,0.1504942
NYSE:AU,2020.0,-1.0129755,0.20021492,-0.12086855,-0.037301525,0.077019736,-0.5609044,-0.23366353,-0.12187218,0.2602549,-0.39269337
NYSE:DRD,2020.0,-0.5903719,-0.18027312,-0.5881861,-0.66367006,-1.6555374,0.046738822,0.056277085,-0.7485525,-1.0852138,0.11403869
NYSE:FSM,2020.0,-0.8358192,-1.0237805,-0.7726948,-1.369275,-0.14447826,-1.1580602,0.24614298,-0.8167475,-1.2688272,-3.8034897
TSX:AYA,2020.0,-1.2049216,0.14985879,-0.083495185,0.13619345,-1.2757695,-1.9810681,-0.5221447,-2.0641556,-0.11322404,0.14634393
NYSE:CGAU,2020.0,0.13584685,0.25697246,-0.2042171,0.05458792,0.5008677,0.3686758,0.46809313,0.7467924,-0.5158436,-0.52307785
TSX:VGCX,2020.0,0.16013299,1.7273062,2.4127166,2.5963862,0.97079396,2.4496617,0.43617952,1.1348124,0.7477303,1.3414769
NYSE:WPM,2020.0,0.11995952,-0.0055346326,0.14159434,-0.25372654,0.00056055706,-0.2022355,0.123222135,-0.21409228,-0.27430958,-0.08210843
TSX:WDO,2020.0,0.88494724,1.1460195,0.4239616,0.75138754,0.16021723,0.7232255,1.1430956,-0.2449609,0.8878654,0.2407693
ASX:SLR,2019.0,-0.95305264,-3.673484,0.05311413,-0.46585184,-1.1595923,-0.13643509,1.1409495,-1.4106451,-1.0986118,-1.3996598
TSX:EDV,2019.0,-0.77342075,-0.17864396,-0.24289246,-0.93406034,-0.20119485,-0.0054860525,-0.19243225,0.14467253,0.18429099,0.073426455
NYSE:IAG,2019.0,1.4264059,0.11438186,0.39619568,-0.18372972,1.1912504,0.7213688,0.2733084,1.5172707,-0.05197171,0.030262366
NYSE:EGO,2019.0,0.8402407,0.40146494,0.33253044,-0.35292444,-0.04176732,0.27694917,0.09545164,0.40133572,0.19812255,-1.1842735
AMEX:BTG,2019.0,-0.11037925,-0.42922044,-1.587013,-0.8402622,-0.10412387,-0.26498947,-0.32797372,-0.22925653,-0.36659786,-0.29731628
NYSE:CDE,2019.0,-0.39127386,-0.06430644,-0.2649777,0.13755564,-0.2974463,-0.055043556,0.18850139,-0.07579709,-0.9305732,-0.7791623
TSX:GGD,2019.0,-0.3338968,-0.44080886,-0.461761,-0.10129259,-0.08069406,0.027518839,-0.5349113,0.047263257,-0.6923813,-0.23300765
NAS:SSRM,2019.0,-0.17114846,-0.3801214,-0.19986208,-0.21048363,-0.17302208,-0.078363284,-0.38254225,-0.13225386,-0.25950077,0.070617504
NYSE:GOLD,2019.0,-0.19016588,0.13538341,0.2417364,0.015816819,-0.10630465,0.07364954,0.26440805,-0.07311102,0.13465627,0.1851573
NYSE:NEM,2019.0,0.07983369,0.07334163,-0.40572348,-0.01211939,0.41419053,-0.12219268,1.3513453,-0.09287752,0.028250134,-0.23523575
TSX:OGC,2019.0,0.013304492,-0.14548816,0.36770666,-0.008657016,-1.3318051,-1.6868309,-0.0034705624,-0.0129125025,-0.044908978,0.61700815
NYSE:AUY,2019.0,0.4066422,2.0709717,0.96323735,1.4937834,1.9731926,0.113675766,2.2106957,1.8682986,1.691874,2.4400756
ASX:RMS,2019.0,-0.4078126,-0.18357766,0.24296327,0.20221037,-0.18743531,-0.162821,0.97229314,-0.8042579,0.4669493,-0.6880832
ASX:GOR,2019.0,1.1001315,0.46981606,2.2010808,3.4000423,2.381409,0.913543,0.38544327,2.6203303,1.8628162,0.34472576
ASX:PRU,2019.0,-0.08534992,0.4036345,-0.17339452,-0.11981614,-0.10645042,0.17067493,-0.052704867,-0.15088412,-0.13740844,0.17886904
NYSE:GFI,2019.0,0.110689536,0.19468096,-0.042465102,-0.039007396,0.04129808,0.010895294,0.020808043,-0.21053481,0.040685955,0.06363789
ASX:NCM,2019.0,0.15726078,-0.10338154,-0.09660922,-0.44632456,-0.12545252,-0.046014987,-0.0313924,-0.12334258,-0.09751645,-0.06863982
NAS:PAAS,2019.0,-0.08315453,1.4331471,0.4844305,-0.43925405,1.9479554,0.047187768,1.1613609,0.16039045,1.6553351,0.29712102
NYSE:AEM,2019.0,-0.051447414,-0.18644115,0.17080939,0.06931599,-0.57306653,-0.106283575,0.14162563,-0.17024119,0.08579677,-0.009359675
NYSE:SAND,2019.0,0.30503562,1.0002146,-0.06931251,-0.025850544,1.1366615,0.054326534,0.5499295,0.9710118,0.73768634,0.87619007
NYSE:EXK,2019.0,0.14623357,0.67256933,0.6392806,0.3204078,1.392801,1.2354745,0.58429015,0.7875306,0.12306822,0.69220257
HKSE:02899,2019.0,0.078350335,0.23397587,-0.3123949,0.18079373,0.023243846,0.050469667,0.31470972,-0.017378053,0.1260284,0.035921123
NYSE:HMY,2019.0,0.042911008,-0.0065428345,0.01633642,0.03457909,-0.12980431,0.32629162,0.8020023,0.5546012,0.05232712,0.0009171111
ASX:NST,2019.0,0.35933536,0.028700009,-0.009904939,0.59211975,0.20423934,0.60522974,0.18402568,0.025319204,0.13118467,0.109502465
NYSE:FNV,2019.0,0.153271,0.25578701,0.2648298,0.10907798,0.23550206,-0.1226221,0.78908765,-0.40160078,-0.035714447,-0.15408614
AMEX:NGD,2019.0,1.7752911,1.2138759,2.8365655,0.84137124,1.1755438,0.62146133,1.7872809,1.5229754,1.742145,0.8107976
TSX:TXG,2019.0,0.13681108,-0.8613423,-0.57381606,-0.8111919,-0.2514106,-0.77908695,-0.45159012,-1.093064,-0.6703486,-0.19224924
NYSE:KGC,2019.0,-0.05381967,-0.10247728,0.14423248,0.10818357,0.13700505,0.035414025,0.08937642,0.022151861,-0.20924515,-0.04633395
HKSE:01818,2019.0,-0.33336943,-0.018982066,-0.14518121,-0.5412797,-0.7054844,-0.9097203,-0.04790706,-0.29525727,-0.29800138,-0.14217202
TSX:DPM,2019.0,-0.75862396,0.09370244,-0.67861915,-0.22120398,0.10244136,-0.7259123,-0.86796135,-0.6669204,-0.07193995,-0.22973564
ASX:RRL,2019.0,-0.008227372,-0.07715016,-0.31756017,0.21695296,0.2602596,-0.020942187,-0.0043088547,0.22642197,-0.08282099,-0.56470966
TSX:KNT,2019.0,0.8742147,0.10689902,-0.6786558,0.25165218,0.44307983,-0.20227017,-0.42029253,-0.7722478,-0.06126173,-0.6920161
TSX:AR,2019.0,-0.32507598,-0.23136666,-0.055599622,-0.009053089,-0.4647199,-0.62279284,-0.5775955,-0.08208757,0.7068471,-0.05195935
NAS:RGLD,2019.0,-1.4325194,0.0822013,0.058778908,0.5358875,0.48597145,5.690932,0.08936834,0.06614623,2.749938,0.07886185
ASX:EVN,2019.0,0.17907776,0.032521512,0.5484898,0.67266953,0.40957928,0.57322997,0.8006638,0.21488959,1.1419847,0.6978145
NYSE:AGI,2019.0,0.62795603,1.2055861,1.2044207,1.9493779,1.2554998,0.62532824,1.0936414,1.4868858,1.3313096,1.1268721
LSE:CEY,2019.0,0.8075661,0.7689081,0.0062108887,1.3806148,1.6143122,1.4390737,0.29946297,1.5979732,1.109454,0.79227996
NYSE:HL,2019.0,0.10876675,1.3325133,2.1025038,2.1398644,0.24772558,2.5481806,-0.18863457,0.10523243,-0.14390531,0.4152851
NYSE:BVN,2019.0,0.14386013,-0.38472435,-0.45914435,0.11045371,0.46802706,-0.1618306,-0.06716305,-0.29169375,-0.33969432,-0.96097946
NYSE:AU,2019.0,0.2664486,-0.30862582,0.5057336,-0.26284555,1.6991496,0.118524015,0.00061506825,-0.2072813,-0.24179453,-0.31987688
NYSE:DRD,2019.0,1.4102736,-0.5922986,-0.4539643,-0.46535552,-0.29287952,-0.013635242,0.077564806,-0.23828052,-0.67981505,0.006987964
NYSE:FSM,2019.0,1.1067765,0.9233758,2.642672,1.1681074,1.2980796,1.9205881,0.923919,0.95503825,0.15887293,0.39560667
TSX:AYA,2019.0,-0.3039181,-1.2691103,-0.3938553,0.5106905,-0.42287976,-0.3875323,-0.07817009,-0.34978354,-0.15363945,0.19363694
NYSE:CGAU,2019.0,0.21886858,0.67976165,0.91035783,-0.21435624,-0.15154338,0.41160977,0.5113469,0.01718823,0.8124512,-0.020887807
TSX:VGCX,2019.0,3.7711785,3.1581686,4.9988847,3.0244966,1.1080918,4.213541,5.903413,2.4905028,3.4874163,2.4317017
NYSE:WPM,2019.0,-0.020293502,-0.056965288,0.41927657,-0.13223937,-0.6890038,-0.06924696,-0.27899787,-0.09703463,0.13908158,-0.07031916
TSX:WDO,2019.0,-0.7974089,-0.248678,0.10330202,-0.5078888,0.15068859,-0.057212718,-0.6289927,-0.3849111,-0.13949162,-0.24095356
ASX:SLR,2018.0,-0.37894022,0.36243317,-0.08421605,0.8492388,-0.43706697,-0.83505076,-0.77784353,-0.090659074,-0.20093113,-0.8333969
TSX:EDV,2018.0,0.3758592,-0.17165019,0.27300826,1.3971878,-0.022528693,0.06694767,0.92353225,0.9214468,0.004942432,0.68539524
NYSE:IAG,2018.0,-1.1228988,-0.21693252,-0.36635825,-0.1928042,0.116197474,-0.7145124,0.019719586,-0.87717485,-0.22603941,0.15119708
NYSE:EGO,2018.0,-0.2118541,-0.2100304,-0.23893435,0.09383947,-0.3616794,-0.4799057,0.061410185,-0.44785422,-0.03437662,-0.2381239
AMEX:BTG,2018.0,-0.14832875,-0.57898325,-0.33466765,-0.5383815,0.032560077,-0.5203339,-0.02414548,0.31697813,0.14110622,-0.34219313
NYSE:CDE,2018.0,-0.56532794,-0.24267498,-0.24273191,-0.20732042,-0.41705257,-0.19280572,-0.21005698,0.082700066,-0.45924908,-0.0666501
TSX:GGD,2018.0,-0.084390834,-0.13772112,0.40560624,0.47984457,0.6626183,-0.22321999,-0.46657133,-0.0422614,-1.0228603,-0.22967902
NAS:SSRM,2018.0,0.41299886,0.04487585,0.14490975,0.15947498,-0.016305456,0.9567635,-0.04752454,0.19775386,0.04115222,-0.01858162
NYSE:GOLD,2018.0,-0.10503474,0.15332212,0.15758726,0.14882782,0.14770408,0.113879204,0.16469413,-0.047440775,0.23231101,0.07464243
NYSE:NEM,2018.0,0.10152891,0.07893438,-0.26271293,-0.074348904,0.06858666,0.31914037,0.23334691,0.3525861,0.041815724,0.07858022
TSX:OGC,2018.0,2.1875708,1.4531137,1.5597824,1.0062114,0.91376466,1.6587129,0.1897289,0.5719988,1.9381101,1.2855575
NYSE:AUY,2018.0,-0.5189763,-0.25883695,-0.07702035,-0.01243957,-0.37524408,-0.34959242,1.1809239,-0.17663191,-0.61818993,-0.1269103
ASX:RMS,2018.0,3.960328,3.7062109,4.397238,3.837648,6.1565094,4.3620267,3.653307,5.1731877,2.524457,3.2037683
ASX:GOR,2018.0,-1.0326892,0.48417997,-0.31725794,-1.5417173,-1.494969,0.020531056,-0.49128127,-1.433669,-0.14130162,-0.86045206
ASX:PRU,2018.0,-0.004342077,-0.54585916,-0.28661996,-0.37219223,-0.28768933,-1.0532506,-0.17569195,-0.48467082,0.11289641,-0.2898546
NYSE:GFI,2018.0,0.041273,0.05042815,0.05053377,-0.1373545,-0.26293194,-0.6380062,-0.0800503,0.014868168,0.05016044,-0.16889517
ASX:NCM,2018.0,-0.1519977,-0.07049768,-0.115423225,0.0313085,0.16491051,0.16665165,-0.07445737,0.14261472,0.22136952,0.026907489
NAS:PAAS,2018.0,-0.22975512,-0.28703374,-0.295794,-0.33180332,-0.06078645,-0.52927345,-0.23034778,-0.38021955,-0.005537337,-0.3289235
NYSE:AEM,2018.0,0.15072627,0.08138907,-0.49314767,-0.77808386,0.42966068,0.14959686,-0.21164796,-0.9097351,-0.20134878,0.1502185
NYSE:SAND,2018.0,-0.10909246,0.19630313,-0.2605871,0.052071176,-0.44741532,-0.38640603,-0.21688813,-0.17476705,-0.11637104,-0.21408142
NYSE:EXK,2018.0,-0.036908403,0.09460181,0.33318332,0.20956147,0.99875486,0.42192033,0.63546246,0.44400644,0.30235946,0.67925125
HKSE:02899,2018.0,-0.04310631,-0.13973185,-0.62510157,-0.51411396,-0.90941185,0.26367915,-0.57046586,-0.014606662,-0.19112648,-0.5696627
NYSE:HMY,2018.0,0.33469373,0.25080934,-0.040204,-0.25228244,0.060717177,0.22182877,-0.0005607605,0.65444106,0.27871808,-0.16671784
ASX:NST,2018.0,0.23696662,0.595665,0.116418645,0.023288716,0.33194253,1.6255629,-0.44386953,0.29646388,0.0037160413,-0.79115087
NYSE:FNV,2018.0,0.18016014,0.08219478,-0.12465385,0.2598585,-0.4408524,0.15638383,0.18866159,0.21279536,0.19044091,0.7099721
AMEX:NGD,2018.0,-0.14392339,-0.18930313,-0.23336007,-0.20627186,0.12832391,-0.13143727,-0.10996339,-0.060016587,-0.010508476,-0.17555209
TSX:TXG,2018.0,0.15679353,0.05140152,-0.8978331,0.16882432,0.24701287,0.07135262,-0.1323707,0.22252977,0.3510717,-0.2585605
NYSE:KGC,2018.0,-0.08966342,-0.20185617,-0.5022632,-0.04005694,-0.5901132,-0.4417851,-0.16443543,0.20463163,-0.5474846,-0.009394055
HKSE:01818,2018.0,-0.032040946,0.049448166,0.16074352,-0.13640699,-0.08968375,0.026065893,-0.1694414,-0.13146871,-0.1290933,-0.05536014
TSX:DPM,2018.0,-0.25805843,0.009102012,0.43671837,0.09442878,-0.92356896,-0.19835849,0.010943911,-0.4141035,0.10145758,-0.5768584
ASX:RRL,2018.0,0.017687732,-0.2794855,-0.1967765,-0.16689943,-0.24999017,0.011948096,0.22548185,-0.12610905,0.043493,-1.0825661
TSX:KNT,2018.0,0.3476148,-0.7401863,-0.040719982,-0.3052306,0.08844932,-0.11269404,-0.4098861,0.04069812,1.3606038,-0.33561513
TSX:AR,2018.0,-0.47076884,-0.44625562,-0.59110343,-0.21831721,-1.34866,-0.59822583,-0.44377965,-0.5582606,-1.3349115,-1.050613
NAS:RGLD,2018.0,-5.2094135,0.12336812,0.09460068,0.09041566,13.380811,0.07314466,-0.13967994,-0.4756183,0.070120566,0.2490975
ASX:EVN,2018.0,-0.11521948,0.17842606,-0.30101323,-0.15616979,-0.05626474,-0.028954262,0.029218772,0.5014592,0.0022519752,-0.34844065
