Company,Date,Predict Return,Predict Return,Predict Return,Predict Return,Predict Return,Predict Return,Predict Return,Predict Return,Predict Return,Predict Return
ASX:SLR,2021.0,-0.04716301,0.1606694,-0.76160604,-0.23539914,0.46635967,-0.8250716,0.15917596,-0.9729234,0.060614303,0.024858922
TSX:EDV,2021.0,-0.54915786,-0.30259705,0.18343754,0.25843185,-0.22516567,-0.12447653,-0.17284892,0.020003818,-0.17860912,-0.51654017
NYSE:IAG,2021.0,-0.6710484,-0.377651,0.009996168,-0.1607224,0.08328038,-0.23309405,-0.19986908,-0.15011874,-0.49429566,-0.15129746
NYSE:EGO,2021.0,-0.14824824,-0.13860096,-0.33823037,0.060938735,-0.19130841,-0.36439466,-0.63170624,0.07914056,-0.49131125,-0.72769135
AMEX:BTG,2021.0,-0.040576167,-0.53066516,-0.12627447,-0.3582073,-0.024789914,0.07883077,-0.0981138,-0.2334006,-0.1671328,-0.16708477
NYSE:CDE,2021.0,-0.7059384,-0.07868436,-0.18318252,-2.413603,-0.040464215,-0.22407593,0.08098366,-0.49680296,-1.0086216,-0.22700611
TSX:GGD,2021.0,-0.3005843,-0.22173285,0.17648657,-0.19245164,0.014833874,-0.45460287,-0.7961832,-0.07833079,0.01641119,-0.2810066
NAS:SSRM,2021.0,-0.15405512,-0.01861953,-0.11102874,-0.10223707,-0.18792221,-0.15439597,-0.17184746,-0.16068244,-0.17924154,-0.1626092
NYSE:GOLD,2021.0,-0.15413836,0.1656572,-0.015178852,0.16775976,0.10746496,0.24486913,0.16600527,0.36756998,0.055298947,0.39982975
NYSE:NEM,2021.0,0.09085141,-0.37245777,-0.06660229,0.15156746,0.1052891,0.19964707,0.25628278,0.091218494,0.09166778,-0.046587307
TSX:OGC,2021.0,-0.29225746,-0.39706567,-0.14394104,-0.041928582,-0.49978843,-0.6036408,-0.5340302,-0.4166211,-1.482951,0.2534599
NYSE:AUY,2021.0,0.69559634,-0.019904828,0.14914544,0.19684893,0.5089215,0.7631881,0.9821679,1.0070992,0.0031782486,0.00015038252
ASX:RMS,2021.0,-0.6561888,-0.7708853,-0.7959137,-2.1912763,0.595961,-1.1377326,-0.032933444,-2.3308012,-0.72573406,-0.84568894
ASX:GOR,2021.0,-0.017288871,0.77682817,0.43584955,-0.22444566,0.0363559,0.54075027,1.3727698,0.54174745,0.05125676,0.80989844
ASX:PRU,2021.0,-0.14968283,0.041420937,-0.719525,0.5017367,-1.2629058,0.1676577,-0.11097187,-1.4642776,0.046791136,0.043851275
NYSE:GFI,2021.0,0.39700472,0.08534877,0.08249403,0.36867136,0.11350478,-0.13630049,-0.012462335,0.43350917,0.48282608,-0.41113544
ASX:NCM,2021.0,-0.14962935,-0.05003125,-0.09477651,-0.000960961,0.1559669,0.15006182,0.014556713,-0.020643003,-0.17743005,0.2029044
NAS:PAAS,2021.0,-0.05062549,0.21044886,-0.48415193,0.15481955,-0.41086712,-0.30671304,-0.16421399,0.32188877,-0.19052885,-0.42665052
NYSE:AEM,2021.0,-0.72717696,-0.40320545,0.34891436,0.53826463,-0.21602173,-0.69008815,-0.7203616,-0.0144328335,0.15223022,-0.45644742
NYSE:SAND,2021.0,0.69428205,0.058556605,1.0089575,0.080547735,0.47218236,0.32945266,0.114524566,0.10157396,0.35271198,-0.082262896
NYSE:EXK,2021.0,-0.47380376,-0.6373331,-0.96097195,-2.135601,-0.37245354,-0.32633948,0.20824671,-1.4364167,-0.72332835,-0.47684512
HKSE:02899,2021.0,0.10017421,-0.5237811,-0.76277655,-0.11078999,-0.30537373,0.056062635,0.055304818,-0.7412709,-0.78637934,-0.8828487
NYSE:HMY,2021.0,-0.6292839,-0.18202364,-0.10530596,0.07223897,-0.49722874,0.14635108,0.11627117,-1.0230215,-0.082434155,-0.43512005
ASX:NST,2021.0,0.14693281,0.2740319,1.9119451,0.55074996,0.20770516,1.0439544,0.28148884,0.95755774,0.1097526,1.3488832
NYSE:FNV,2021.0,0.7993033,0.13472734,0.090886675,0.6525594,0.49709457,0.3457443,-0.041773766,0.47927284,0.6839725,-0.15390809
AMEX:NGD,2021.0,-0.12612385,0.2879604,-0.34548628,-0.48655665,-0.37426594,-0.030532945,0.032058384,-0.1931171,-0.53516835,0.014406383
TSX:TXG,2021.0,0.38005212,0.2541832,-0.09131854,0.22925128,0.49790367,0.1931366,0.37473014,-0.09811372,0.6500344,0.76480174
NYSE:KGC,2021.0,0.03316105,0.025344143,-0.3749309,-0.20967218,-0.1136723,-0.14845979,-0.028231516,-0.35774717,-0.17807126,-0.09934586
HKSE:01818,2021.0,-0.16088638,-0.4792784,-0.15780522,-0.087154254,0.17752701,-0.09897188,-0.39069754,-0.44691193,-0.06618943,-0.20224184
TSX:DPM,2021.0,0.38835648,-0.8589765,-1.0411253,-0.16178404,0.0018837079,-0.80700654,-1.1039908,-0.6242569,-0.3558891,-0.3486044
ASX:RRL,2021.0,-0.057957005,0.004629069,-0.24982724,-0.080130786,-0.23052955,-0.1463674,0.012227494,0.01224504,-0.10971564,-0.5174023
TSX:KNT,2021.0,1.3927861,0.5798632,0.4193825,1.183646,1.6774987,-0.04353226,-0.052129243,0.8020086,0.88911074,1.6364949
TSX:AR,2021.0,-0.39131784,0.029678503,0.29569402,-0.7691858,-0.62669027,-0.6280382,-0.33611417,-0.81054944,-0.5092737,-0.6372559
NAS:RGLD,2021.0,0.08152385,0.072534606,11.1102,0.07741077,0.07317561,-1.0213104,3.389491,5.382296,0.07545462,0.06370304
ASX:EVN,2021.0,0.387851,0.40190926,0.07791356,-0.38522464,0.035005827,0.019028267,0.15525743,0.36068055,0.045369714,-0.22452608
NYSE:AGI,2021.0,0.06434813,0.053375587,-0.3850582,-0.023840986,0.05010873,0.1042936,-0.4892528,0.047205247,-0.03881929,-0.21870051
LSE:CEY,2021.0,0.6591464,0.5014847,0.81891453,0.48835245,0.875618,0.1763864,-0.12944701,0.395191,0.6571309,0.6145836
NYSE:HL,2021.0,0.13559811,-1.3454452,-1.275061,-0.4630419,0.13618302,-1.2739377,-0.15051788,0.13635369,0.019230818,-1.1188105
NYSE:BVN,2021.0,-0.59798896,-0.12575558,-0.21694838,0.25476366,-0.07809742,-0.65978205,0.24100746,-0.13175732,-0.1631374,0.11774254
